# O despenhadeiro de custo com o comprimento da caixa de refino, E O QUE ELE ERA.
#
# Malha base h=0,05, um nivel na caixa [1;x1]x[1;3], np=6, 3 passos, dt=5e-3,
# maquina de 16 nucleos com nada mais rodando.
#
# x1   s_padrao   s_com_OMP_NUM_THREADS=1
8.0        3         3
9.0        4         -
10.0       3         -
11.0     337         9
12.0     403         4
16.0       -        11
#
# NAO ERA A SIMULACAO.  Era sobrescricao de threads: o OpenBLAS tomava ~3,5
# nucleos por processo, 6 processos = 21 threads em 16 nucleos, e a espera do
# MPI e' OCUPADA -- quem chega cedo na reducao queima nucleo girando.
#
# MEDIDO durante a corrida, CPU por processo:
#     quatro processos a 350%  (girando na espera)
#     dois processos a  45%    (com trabalho, sem conseguir um nucleo inteiro)
#
# Os dois que tinham trabalho estavam sendo FAMINTOS pelos quatro que esperavam.
# Realimentacao positiva, e explica o limiar ser abrupto: enquanto o total de
# threads cabe nos nucleos nao ha' disputa; um passo alem, colapso.
#
# O que foi descartado antes de achar, cada um por medicao:
#   KSP            279/300/320 contra 314/315/326  -- quase igual
#   malha          zero arvores degeneradas, Vmax = 1,4937
#   balanceamento  celulas proprias por rank, max/min = 1,00
#   memoria        0,51 GB somados, 33 GB livres
#   trabalho local flops sobem 28%
#   algoritmo MPI  coll_tuned_allreduce_algorithm 0,1,2 -- sem diferenca
#
# LICAO: contagem de celulas por processo nao e' carga de trabalho, e carga de
# trabalho nao e' progresso quando o sistema operacional esta' no meio.  O sinal
# que resolveu foi o desequilibrio de %CPU entre processos.
